design_id,n_primary_runs,n_primary_pass,pass_rate,quality_mean,quality_std,seed_robustness,weight_quality_effective,weight_seed_robustness_effective,quality_bundle,stage_weight_viability,stage_weight_quality_bundle,score_total
101,50,49,0.98,0.7574036720595079,0.0408647583613754,0.8762318931664983,0.7,0.3,0.7930521383916049,0.5,0.5,0.8865260691958025
127,50,49,0.98,0.7465618956173224,0.040115144408275724,0.9004858997831728,0.7,0.3,0.7927390968670776,0.5,0.5,0.8863695484335388
145,50,50,1.0,0.7501795223256419,0.0430322823675656,0.806100939266088,0.7,0.3,0.7669559474077756,0.5,0.5,0.8834779737038878
167,50,49,0.98,0.742603724534402,0.040471990693901845,0.8889400205517055,0.7,0.3,0.786504613339593,0.5,0.5,0.8832523066697965
139,50,50,1.0,0.7468256438186944,0.04295978279154826,0.8084466869528267,0.7,0.3,0.7653119567589342,0.5,0.5,0.8826559783794671
80,50,49,0.98,0.7501889738781068,0.04127238279508943,0.8630430702109796,0.7,0.3,0.7840452027779686,0.5,0.5,0.8820226013889843
110,50,50,1.0,0.738339860349764,0.042497531786835775,0.8234029706245772,0.7,0.3,0.7638587934322079,0.5,0.5,0.8819293967161039
156,50,50,1.0,0.7488273344940963,0.04328551201331733,0.7979076105824316,0.7,0.3,0.7635514173205968,0.5,0.5,0.8817757086602984
123,50,49,0.98,0.7513177684909825,0.04147544797444039,0.8564728293780431,0.7,0.3,0.7828642867571007,0.5,0.5,0.8814321433785504
130,50,50,1.0,0.7545099556093811,0.04386825215057505,0.7790528612992749,0.7,0.3,0.7618728273163492,0.5,0.5,0.8809364136581745
113,50,48,0.96,0.7422527157191209,0.03929720889878514,0.9269504728839884,0.7,0.3,0.7976620428685811,0.5,0.5,0.8788310214342905
155,50,50,1.0,0.7433474025265017,0.0436787862761736,0.7851830921365811,0.7,0.3,0.7558981094095254,0.5,0.5,0.8779490547047627
68,50,50,1.0,0.7465412821786405,0.04396010523761856,0.7760809243820078,0.7,0.3,0.7554031748396506,0.5,0.5,0.8777015874198253
41,50,50,1.0,0.7268302388155317,0.04271608470477965,0.8163316189028205,0.7,0.3,0.7536806528417184,0.5,0.5,0.8768403264208592
21,50,49,0.98,0.7466636847164811,0.04219128968783901,0.8333115347123433,0.7,0.3,0.7726580397152397,0.5,0.5,0.8763290198576199
86,50,50,1.0,0.7343820863830736,0.0436140304143683,0.7872782893967172,0.7,0.3,0.7502509472871666,0.5,0.5,0.8751254736435833
111,50,50,1.0,0.7545433191798782,0.045135123494271165,0.7380628212587647,0.7,0.3,0.7495991698035441,0.5,0.5,0.874799584901772
107,50,50,1.0,0.7543776894960356,0.045773396518273335,0.7174112871145824,0.7,0.3,0.7432877687815995,0.5,0.5,0.8716438843907998
94,50,49,0.98,0.757402670055046,0.04394090237078357,0.7767022394700598,0.7,0.3,0.7631925408795501,0.5,0.5,0.8715962704397751
63,50,49,0.98,0.7502640385517211,0.04365742180867132,0.7858743465269502,0.7,0.3,0.7609471309442898,0.5,0.5,0.8704735654721449
114,50,49,0.98,0.7419522992299559,0.04311375117417249,0.8034649891662726,0.7,0.3,0.7604061062108509,0.5,0.5,0.8702030531054255
7,50,49,0.98,0.7310315564606689,0.04241388743818635,0.8261093111045026,0.7,0.3,0.759554882853819,0.5,0.5,0.8697774414269095
147,50,50,1.0,0.7482867333657005,0.04594366239409196,0.7119022785620833,0.7,0.3,0.7373713969246153,0.5,0.5,0.8686856984623077
71,50,50,1.0,0.7465794218666563,0.04592891407519883,0.7123794652827142,0.7,0.3,0.7363194348914737,0.5,0.5,0.8681597174457368
